,Country,HappinessScore,EconomyGDPperCapita,Family,HealthLifeExpectancy,Freedom,TrustGovernmentCorruption,Generosity,DystopiaResidual,Socialsupport
95,Mongolia,4.9119999746,0.9479852885,1.2944804121,0.5717178282,0.3967079896,0.0308040964,0.3387180768,1.3315807874,1.3225
96,Montenegro,5.1966666629,1.057963012,0.9618921661,0.6760015578,0.1762330185,0.1194480647,0.1770736747,2.0282238472,1.3783333333
97,Morocco,5.1330000445,0.8178281937,0.6005881451,0.6006535563,0.360509444,0.0857543943,0.0481533184,2.619609798,1.2465
98,Mozambique,4.7605000954,0.158692825,0.9484805075,0.0989822177,0.410580546,0.1677331928,0.2724590519,2.7035104509,1.24725
99,Myanmar,4.4156666921,0.3264368501,0.8440319803,0.4262608562,0.460527345,0.1938620682,0.817888387,1.3466301345,0.8938333333
100,Namibia,4.5739999409,0.9486521628,0.9010454035,0.3430309057,0.5032217737,0.0985634862,0.0775418725,1.7019351008,1.0415
101,Nepal,4.7563332977,0.4286833973,0.9135877538,0.5245335936,0.3977486494,0.067375182,0.366218722,2.0581836912,0.9165
102,Netherlands,7.3646666183,1.4326882118,1.2460764078,0.838615375,0.5844181627,0.3000239418,0.4735832766,2.4893313654,1.5086666667
103,New Zealand,7.3113333766,1.3388486827,1.3468817079,0.8520299018,0.6116373768,0.4103589007,0.489675042,2.262078779,1.5536666667
104,Nicaragua,5.9636666997,0.6747964013,1.1080885699,0.6827886535,0.4893739488,0.1622593273,0.2925180723,2.5540935197,1.324
105,Niger,3.909666626,0.1213417769,0.7903250016,0.275731669,0.4069962321,0.1555743154,0.2107479485,1.9491477944,1.064
106,Nigeria,5.0723332939,0.730088752,0.921690161,0.0893552434,0.3389441885,0.0323071887,0.2451557322,2.7148135131,1.205
107,North Cyprus,5.7586666476,1.2887937704,1.0248811257,0.8665424128,0.4658112084,0.1546444508,0.2639185677,1.6941692065,1.2823333333
108,Norway,7.5190000598,1.5509677281,1.3304578532,0.8258888343,0.6337475291,0.3462512782,0.3626507458,2.4689955511,1.6191666667
109,Oman,6.853,1.36011,1.08182,0.76276,0.63274,0.32524,0.21542,2.47489,1.5225
110,Pakistan,5.1983333511,0.6701578435,0.4493835632,0.4399225944,0.1674850872,0.1225960222,0.3213353397,3.0274797634,1.2855
111,Palestinian Territories,4.7480000318,0.6617197425,0.9325057195,0.5980856579,0.2257136872,0.1081542007,0.112741058,2.108790092,1.1015
112,Panama,6.6463333804,1.160112812,1.1869375163,0.7370387115,0.527132278,0.0826379747,0.2322323131,2.7204233183,1.379
113,Paraguay,5.6363333435,0.8620391058,1.3077216266,0.6077268978,0.4916159306,0.0824819711,0.2731702192,2.0117344968,1.3975
114,Peru,5.7606667175,0.9771450907,1.0019701283,0.6634253711,0.4133276263,0.0532863622,0.1406365716,2.5109798101,1.4018333333
115,Philippines,5.2606666094,0.7917297385,1.0559491916,0.5065030182,0.5864015582,0.113230631,0.2200544744,1.9870149172,1.2061666667
116,Poland,5.8663333499,1.2210626209,1.2573473234,0.7230284493,0.5011540372,0.0521426021,0.1568286555,1.9545742722,1.3798333333
117,Portugal,5.1400000572,1.2503850983,1.1500210061,0.8215545139,0.4868084332,0.0139531506,0.1164009042,1.3008175683,1.2016666667
118,Puerto Rico,7.039,1.35943,1.08113,0.77758,0.46823,0.12275,0.22202,3.0076,1.506
119,Qatar,6.4536666667,1.7951518953,1.0775122933,0.7415526959,0.6037736611,0.4806230852,0.3266946233,1.4281481401,1.3928333333
120,Romania,5.4923332698,1.1436113038,0.9213337635,0.7100261041,0.3916012475,0.0058893002,0.1332966392,2.1866538279,1.3043333333
121,Russia,5.8449999402,1.2172326991,1.2526874629,0.6021731113,0.3557977039,0.032957627,0.0272046075,2.3568991381,1.3448333333
122,Rwanda,3.483666652,0.3064286311,0.778422341,0.3579049358,0.5723512843,0.504113338,0.2381853431,0.7262237451,0.828
123,Saudi Arabia,6.3779999542,1.4718545184,1.0729658663,0.6343561099,0.3797568575,0.2995840849,0.146415338,2.3729898958,1.3701666667
124,Senegal,4.2193332825,0.4291430075,0.9766806369,0.4164442842,0.3520674222,0.1131334827,0.1943096311,1.7374020496,0.9141666667
125,Serbia,5.2316666603,1.0080725264,1.0270399325,0.6816482238,0.1889885094,0.0368212602,0.2066019613,2.0824914756,1.3563333333
126,Sierra Leone,4.6170000369,0.3545036429,0.8559486817,0.001854918,0.3446492303,0.0803050587,0.2489636338,2.7308566308,1.0083333333
127,Singapore,6.7030000089,1.61989589,1.0804647878,0.973977465,0.5266868565,0.4754259283,0.3280253272,1.6983739998,1.429
128,Slovakia,6.0570000165,1.2580111858,1.2859097474,0.7351409704,0.2824124882,0.0293302839,0.1479481603,2.3182722171,1.3201666667
129,Slovenia,5.791333299,1.2752186515,1.2608329403,0.8185694093,0.5709219359,0.0397829929,0.2511030311,1.5747890996,1.4258333333
130,Somalia,5.2955000114,0.0113215921,0.528640676,0.1143245686,0.584953478,0.2971051618,0.2819406556,3.4776022848,1.1925
131,Somaliland Region,5.057,0.25558,0.75862,0.33108,0.3913,0.36794,0.51479,2.43801,1.424
